"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","544","Create user","LMS service","Tue Feb 24 22:41:56 UTC 2026","passed","Tue Feb 24 22:41:57 UTC 2026","Create entity","Users","",""
"","286","Update exercise","LMS service","Tue Feb 24 22:41:51 UTC 2026","passed","Tue Feb 24 22:41:51 UTC 2026","Update entity","Exercises","",""
"","556","Create user","LMS service","Tue Feb 24 22:41:57 UTC 2026","passed","Tue Feb 24 22:41:57 UTC 2026","Create entity","Users","",""
"","261","Get file with incorrect file id","LMS service","Tue Feb 24 22:41:56 UTC 2026","passed","Tue Feb 24 22:41:57 UTC 2026","Validate entity","Files","",""
"","291","Delete exercise","LMS service","Tue Feb 24 22:41:52 UTC 2026","passed","Tue Feb 24 22:41:53 UTC 2026","Delete entity","Exercises","",""
"","261","Create file with empty filename","LMS service","Tue Feb 24 22:41:55 UTC 2026","passed","Tue Feb 24 22:41:55 UTC 2026","Validate entity","Files","",""
"","31","Create course","LMS service","Tue Feb 24 22:41:50 UTC 2026","passed","Tue Feb 24 22:41:50 UTC 2026","Create entity","Courses","",""
"","24","Create exercise","LMS service","Tue Feb 24 22:41:51 UTC 2026","passed","Tue Feb 24 22:41:51 UTC 2026","Create entity","Exercises","",""
"","14","Get file","LMS service","Tue Feb 24 22:41:54 UTC 2026","passed","Tue Feb 24 22:41:54 UTC 2026","Get entity","Files","",""
"","265","Create file with empty directory","LMS service","Tue Feb 24 22:41:55 UTC 2026","passed","Tue Feb 24 22:41:55 UTC 2026","Validate entity","Files","",""
"","268","Create file","LMS service","Tue Feb 24 22:41:53 UTC 2026","passed","Tue Feb 24 22:41:54 UTC 2026","Create entity","Files","",""
"","19","Delete file","LMS service","Tue Feb 24 22:41:56 UTC 2026","passed","Tue Feb 24 22:41:56 UTC 2026","Delete entity","Files","",""
"","551","Login with correct email and password","LMS service","Tue Feb 24 22:41:48 UTC 2026","passed","Tue Feb 24 22:41:49 UTC 2026","Login","Authentication","",""
"","288","Create user","LMS service","Tue Feb 24 22:41:57 UTC 2026","passed","Tue Feb 24 22:41:57 UTC 2026","Create entity","Users","",""
"","16","Get exercises","LMS service","Tue Feb 24 22:41:53 UTC 2026","passed","Tue Feb 24 22:41:53 UTC 2026","Get entities","Exercises","",""
"","302","Update course","LMS service","Tue Feb 24 22:41:49 UTC 2026","passed","Tue Feb 24 22:41:49 UTC 2026","Update entity","Courses","",""
"","27","Get courses","LMS service","Tue Feb 24 22:41:49 UTC 2026","passed","Tue Feb 24 22:41:49 UTC 2026","Get entities","Courses","",""
"","24","Get exercise","LMS service","Tue Feb 24 22:41:52 UTC 2026","passed","Tue Feb 24 22:41:52 UTC 2026","Get entity","Exercises","",""
"","12","Get user me","LMS service","Tue Feb 24 22:41:58 UTC 2026","passed","Tue Feb 24 22:41:58 UTC 2026","Get entity","Users","",""
